,Month,Date,Material,Pit,Reduced Level,Site Mixed Emulsion(Kg),Emulboost 125gm,Emulboost 250gm,DTH 6M,DTH 8M,DTH 10m,DTH 12m,TLD 5m (17ms),TLD 5m (25ms),TLD 5m (42ms),TLD 5m (65ms),TLD 5m (100ms),Electronic Detonator,Number Of Hole,Spacing,Burden,Meterage Blasted,Total Blasted Volume,Bulk Density,Total Blasted Tonnage,Powder Factor,Yield,Total Booster Explosive(Kg),Booster Ratio
129,December'22,2022-12-12,HO,Pit1,700,18570,64.0,114.0,0.0,64.0,0.0,114.0,43.0,45.0,0.0,35.0,0.0,2.0,114,4.0,3.5,1254,17556.0,4.0,71628.48,3.86,57.12,36.5,0.0019655358104469574
130,December'22,2022-12-16,HO,Pit1,710,14880,105.0,105.0,0.0,0.0,105.0,105.0,40.0,35.0,0.0,40.0,0.0,2.0,105,4.0,3.5,1103,15442.0,4.0,63003.36,4.23,57.12,39.38,0.002646505376344086
131,December'22,2022-12-17,SG,Pit3,670,18470,123.0,123.0,123.0,0.0,0.0,123.0,60.0,30.0,38.0,0.0,0.0,2.0,123,4.0,3.5,1353,18942.0,3.5,67622.94,3.66,49.98,46.12,0.002497022198159177
132,December'22,2022-12-22,HO,Pit1,700,12990,94.0,94.0,0.0,94.0,0.0,94.0,45.0,27.0,0.0,28.0,0.0,2.0,94,4.0,3.5,987,13818.0,4.0,56377.44,4.34,57.12,35.25,0.002713625866050808
133,December'22,2022-12-24,FO,Pit3,650,7390,75.0,0.0,0.0,0.0,75.0,0.0,10.0,33.0,17.0,0.0,20.0,2.0,75,4.0,3.5,600,9600.0,3.5,34272.0,4.64,57.12,9.38,0.001269282814614344
134,December'22,2022-12-27,SG,Pit1,680,6190,80.0,0.0,0.0,0.0,80.0,0.0,12.0,25.0,25.0,13.0,13.0,2.0,80,4.0,3.5,480,5880.0,3.5,20991.6,3.39,43.7325,10.0,0.0016155088852988692
135,December'22,2022-12-27,FO,Pit1,690,5660,40.0,40.0,40.0,0.0,0.0,40.0,0.0,15.0,14.0,13.0,0.0,2.0,40,4.0,4.0,420,6720.0,3.5,23990.4,4.24,57.12,15.0,0.00265017667844523
136,December'22,2022-12-28,FO,Pit3,670,23730,519.0,0.0,173.0,0.0,173.0,0.0,0.0,103.0,0.0,0.0,75.0,2.0,173,4.0,4.0,1817,29072.0,3.5,103787.04,4.37,57.12,64.88,0.0027340918668352296
137,December'22,2022-12-30,HO,Pit1,710,8290,38.0,58.0,0.0,38.0,20.0,38.0,33.0,17.0,0.0,17.0,0.0,2.0,58,4.0,3.5,589,8246.0,4.0,33643.68,4.06,57.12,19.25,0.002322074788902292
138,January'23,2023-02-01,HO,Pit1,700,18480,130.0,130.0,0.0,130.0,0.0,130.0,45.0,32.0,30.0,0.0,29.0,2.0,130,4.0,3.5,1430,20020.0,4.0,81681.6,4.42,57.12,48.75,0.002637987012987013
139,January'23,2023-05-01,SG,Pit3,690,4410,29.0,46.0,19.0,10.0,46.0,0.0,0.0,35.0,22.0,0.0,25.0,2.0,75,4.0,4.0,504,8064.0,3.5,28788.48,6.53,57.12,15.12,0.0034285714285714284
140,January'23,2023-06-01,HO,Pit1,700,22870,108.0,140.0,0.0,250.0,0.0,140.0,53.0,0.0,48.0,30.0,12.0,2.0,140,4.0,3.5,1540,21560.0,4.0,87964.8,3.85,57.12,48.5,0.0021206821163095757
